gene_id	20.NM1__d1	20.NM1__d2
H2NCmale_00001154-RA	0	0
H2NCmale_00001155-RA	0	0
H2NCmale_00001156-RA	0	0
H2NCmale_00001158-RA	0	0
H2NCmale_00001159-RA	0	0
H2NCmale_00001160-RA	0	0
H2NCmale_00001161-RA	0	0
H2NCmale_00001162-RA	0	0
H2NCmale_00001163-RA	0	0
H2NCmale_00001164-RA	0	0
H2NCmale_00001165-RA	0	0
H2NCmale_00001169-RA	0	0
H2NCmale_00001170-RA	0	0
H2NCmale_00001172-RA	0	0
H2NCmale_00001174-RA	0	0
H2NCmale_00001176-RA	0	0
H2NCmale_00001177-RA	0	0
H2NCmale_00001178-RA	0	0
H2NCmale_00001179-RA	0	0
H2NCmale_00001182-RA	0	0
H2NCmale_00001184-RA	0	0
H2NCmale_00001188-RA	0	0
H2NCmale_00001190-RA	0	0
H2NCmale_00001191-RA	0	0
H2NCmale_00001197-RA	0	0
H2NCmale_00001198-RA	0	0
H2NCmale_00001199-RA	0	0
H2NCmale_00001200-RA	0	0
H2NCmale_00001201-RA	0	0
H2NCmale_00001202-RA	0	0
H2NCmale_00001203-RA	0	0
H2NCmale_00001205-RA	0	0
H2NCmale_00001206-RA	0	0
H2NCmale_00001207-RA	0	0
H2NCmale_00001208-RA	0	0
H2NCmale_00001215-RA	0	0
H2NCmale_00001216-RA	0	0
H2NCmale_00001218-RA	0	0
H2NCmale_00001221-RA	0	0
H2NCmale_00001222-RA	0	0
H2NCmale_00001223-RA	0	0
H2NCmale_00001224-RA	0	0
H2NCmale_00001225-RA	0	0
